اباي	a b a i
حىرومانتىكا	h xe r o m a n t xe k a
ٴحىروپ	h xe r o p
ٴحىنستون	h xe n s t o n
حىنتەرلاندىيا	h xe n t ye r l a n d xe i a
حىنچەك	h xe n ch ye k
حىپپەست	h xe p p ye s t
ٴحىپپى	h xe p p xe
ٴحىرۋرگىيالىق	h xe r w r g xe i a l e q
ٴحىرۋرگىيا	h xe r w r g xe i a
ٴحىرۋرگ	h xe r w r g
ٴحىرۋرگتار	h xe r w r g t a r
ٴحىسسالار	h xe s s a l a r
ٴحىروپودىست	h xe r o p o d xe s t
حىروپودىستتەر	h xe r o p o d xe s t t ye r
ٴحىروپودىيا	h xe r o p o d xe i a
ٴحىروپتار	h xe r o p t a r
ٴحىرر	h xe r r
ٴحلورىت	h l o r xe t
ٴحلورىد	h l o r xe d
حلورلى	h l o r l e
ٴحىت	h xe t
حىتتەر	h xe t t ye r
ٴحىتتس	h xe t t s
حلور	h l o r
حلورات	h l o r a t
حوببوبتار	h o b b o b t a r
ٴحوببى	h o b b xe
حو	h o
ٴحوببىورس	h o b b xe o r s
ٴحوببىى	h o b b xe xe
حلوروز	h l o r o z
حلوروپلاست	h l o r o p l a s t
حلوروپلاستتار	h l o r o p l a s t t a r
حلوروتىكالىق	h l o r o t xe k a l e q
ٴحلوروفىلل	h l o r o f xe l l
حلوروفورم	h l o r o f o r m
حلورتەراتسىكلىن	h l o r t ye r a t s xe k l xe n
حوككەي	h o k k ye i
حودجەپودج	h o d j ye p o d j
حوكتار	h o k t a r
حوكۋس	h o k w s
ٴحوبگوبلىن	h o b g o b l xe n
حوبنوب	h o b n o b
حوگگەت	h o g g ye t
حوگۋش	h o g w sh
حود	h o d
حوللو	h o l l o
ٴحولمى	h o l m xe
حولم	h o l m
حولدىڭتەر	h o l d xe n g t ye r
حولەر	h o l ye r
حولەرىكالىق	h o l ye r xe k a l e q
حولەستەرىن	h o l ye s t ye r xe n
حولەچەرىيا	h o l ye ch ye r xe i a
حور	h o r
حوپپەر	h o p p ye r
حوراتىكالىق	h o r a t xe k a l e q
حورال	h o r a l
ٴحورارىي	h o r a r xe i
حولوكوست	h o l o k o s t
حومياك	h o m i a k
حومياكتار	h o m i a k t a r
حونا	h o n a
حوپ	h o p
حورلار	h o r l a r
ٴحورىست	h o r xe s t
حورلەت	h o r l ye t
حورلى	h o r l e
ٴحوراتورى	h o r a t o r xe
حورەوگرافىيا	h o r ye o g r a f xe i a
حورەيا	h o r ye i a
ٴحورىن	h o r xe n
ٴحورىنالار	h o r xe n a l a r
حوسەر	h o s ye r
حوسانا	h o s a n a
حوسپىستەر	h o s p xe s t ye r
حوست	h o s t
حورمەن	h o r m ye n
حورنەت	h o r n ye t
حورنەتتەر	h o r n ye t t ye r
حورولوگ	h o r o l o g
ٴحورولوگىيا	h o r o l o g xe i a
حرامدار	h r a m d a r
ٴحوش ىىستى	h o sh   xe xe s t xe
حوش ىىستەر	h o sh   xe xe s t ye r
ٴحوش ىىستى زات	h o sh   xe xe s t xe   z a t
حوستەل	h o s t ye l
ٴحوستىڭ	h o s t xe n g
حوستتار	h o s t t a r
حوۋدا	h o w d a
ٴحوش ىىس	h o sh   xe xe s
حوش ىىستەندىرىلگەن	h o sh   xe xe s t ye n d xe r xe l g ye n
ٴحرىستىاندار	h r xe s t xe a n d a r
ٴحرىستىان الەمى	h r xe s t xe a n   xa l ye m xe
ٴحرىستىان	h r xe s t xe a n
حروم	h r o m
حروماتىكالىق	h r o m a t xe k a l e q
حرىزانتەما	h r xe z a n t ye m a
حرىزانتەمالار	h r xe z a n t ye m a l a r
ٴحرىزم	h r xe z m
ٴحرىزولىت	h r xe z o l xe t
ٴحرىسالىس	h r xe s a l xe s
ٴحرونولوگىيا	h r o n o l o g xe i a
حرونوگرافتار	h r o n o g r a f t a r
ٴحرونولوگىيالار	h r o n o l o g xe i a l a r
حرونومەتر	h r o n o m ye t r
ٴحروماتوگرافىيا	h r o m a t o g r a f xe i a
حرومدالعان	h r o m d a l gh a n
حرومدى	h r o m d e
حروموسوما	h r o m o s o m a
حروموسومالار	h r o m o s o m a l a r
حرونوگراف	h r o n o g r a f
حۋم	h w m
حۋلكۋلىڭ	h w l k w l xe n g
حۋنتا	h w n t a
حۋس	h w s
حرونومەترلەر	h r o n o m ye t r l ye r
حرونوسكوپ	h r o n o s k o p
حرۋستال	h r w s t a l
حۋدوجنىكتەر	h w d o j n xe k t ye r
حۋززا	h w z z a
ٴتسارىنا	t s a r xe n a
حەشتەۋ	h ye sh t ye w
تسەدالى	t s ye d a l e
تسەزارىزم	t s ye z a r xe z m
حۋستلەر	h w s t l ye r
حۋفف	h w f f
ٴحيۋبى	h i w b xe
حەش	h ye sh
حەشەش	h ye sh ye sh
حەشتەر	h ye sh t ye r
تسەلليۋلوىد	t s ye l l i w l o xe d
تسەلليۋلوزا	t s ye l l i w l o z a
تسەلسىي	t s ye l s xe i
تسەمەنتتەلگەن	t s ye m ye n t t ye l g ye n
تسەزار	t s ye z a r
تسەزىي	t s ye z xe i
تسەزۋرا	t s ye z w r a
تسەلاندىن	t s ye l a n d xe n
تسەلىبات	t s ye l xe b a t
تسەللوفان	t s ye l l o f a n
تسەنزۋرالار	t s ye n z w r a l a r
تسەنزۋرالاڭحان	t s ye n z w r a l a n gh a n
تسەنت	t s ye n t
تسەنوتىپ	t s ye n o t xe p
تسەمەنتتەر	t s ye m ye n t t ye r
تسەمەنتتەۋ	t s ye m ye n t t ye w
تسەنزىيا	t s ye n z xe i a
تسەنزۋرا	t s ye n z w r a
تسەنزۋرالاناتىن	t s ye n z w r a l a n a t e n
تسەنترىزم	t s ye n t r xe z m
تسەنترالىزم	t s ye n t r a l xe z m
تسەنترىست	t s ye n t r xe s t
تسەنت قۇرايدى	t s ye n t   q u r a i d e
تسەنتو	t s ye n t o
تسەنتپەدتەر	t s ye n t p ye d t ye r
تسەنتر	t s ye n t r
تسەنتر تاقتاسى	t s ye n t r   t a q t a s e
تسەرەبراتسىيا	t s ye r ye b r a t s xe i a
تسەرەبرالدى	t s ye r ye b r a l d e
تسەولىت	t s ye o l xe t
تسەرەبرۋم	t s ye r ye b r w m
تسەرەمەنت	t s ye r ye m ye n t
تسەنترىفەي	t s ye n t r xe f ye i
تسەنترىفۋگالانادى	t s ye n t r xe f w g a l a n a d e
تسەنترلەۋ	t s ye n t r l ye w
تسەنترلىك	t s ye n t r l xe k
تسەنترلىك بولىكتەر	t s ye n t r l xe k   b xo l xe k t ye r
تسەنتۋپل	t s ye n t w p l
تسىگنەت	t s xe g n ye t
ٴتسىانىد	t s xe a n xe d
ٴتسىان	t s xe a n
تسىكادا	t s xe k a d a
تسىگنەتتەر	t s xe g n ye t t ye r
تسەرەمەنتتەر	t s ye r ye m ye n t t ye r
تسەرىي	t s ye r xe i
تسەرۋزا	t s ye r w z a
تسەرۋس	t s ye r w s
تسەفالدى	t s ye f a l d xe
تسىكلوز	t s xe k l o z
تسىكلدىك	t s xe k l d xe k
تسىكلوىد	t s xe k l o xe d
تسىكلوىدتار	t s xe k l o xe d t a r
تسىكادالار	t s xe k a d a l a r
تسىكاترىيالار	t s xe k a t r xe i a l a r
تسىكل	t s xe k l
تسىكلامەن	t s xe k l a m ye n
تسىكلدار	t s xe k l d a r
تسىكلدى	t s xe k l d xe
تسىكلوترون	t s xe k l o t r o n
تسىكلوپىيالىق	t s xe k l o p xe i a l e q
تسىكورىي	t s xe k o r xe i
ٴتسىلىندر	t s xe l xe n d r
تسىكلومەتر	t s xe k l o m ye t r
تسىكلومەترلەر	t s xe k l o m ye t r l ye r
تسىكلون	t s xe k l o n
تسىكلوندىق	t s xe k l o n d e q
تسىكلوپەان	t s xe k l o p ye a n
تسىكلوپەدىيا	t s xe k l o p ye d xe i a
تسىنىكتەر	t s xe n xe k t ye r
ٴتسىنىزم	t s xe n xe z m
تسىرك	t s xe r k
تسىركاد	t s xe r k a d
تسىلىندرلەر	t s xe l xe n d r l ye r
تسىلىندرلىك	t s xe l xe n d r l xe k
ٴتسىلىۋم	t s xe l xe w m
ٴتسىلىيا	t s xe l xe i a
ٴتسىمبال	t s xe m b a l
ٴتسىمبالار	t s xe m b a l a r
تسىرفلەكس	t s xe r f l ye k s
تسىستەرنا	t s xe s t ye r n a
تسىستەرنالار	t s xe s t ye r n a l a r
تسىركون	t s xe r k o n
تسىركونىي	t s xe r k o n xe i
تسىركتەر	t s xe r k t ye r
تسىركۋلياتورلار	t s xe r k w l i a t o r l a r
تسىركۋلياتسىيالانباعان	t s xe r k w l i a t s xe i a l a n b a gh a n
ٴتسىرروز	t s xe r r o z
ٴتسىرروزدار	t s xe r r o z d a r
ٴتسىترات	t s xe t r a t
ٴتسىترىن	t s xe t r xe n
ٴتسىترون	t s xe t r o n
ٴتسىترۋس	t s xe t r w s
تسىستىكالىق	t s xe s t xe k a l e q
ٴتسىستىت	t s xe s t xe t
تسىتادەل	t s xe t a d ye l
تسىتادەلدەر	t s xe t a d ye l d ye r
ٴتسىتىي	t s xe t xe i
ٴتسىتولوگىيا	t s xe t o l o g xe i a
چاگىلدى	ch a g e l d e
چاگۋ	ch a g w
ٴچاپاتى	ch a p a t xe
چانەر	ch a n ye r
ٴتسىترۋس جەمىسى	t s xe t r w s   j ye m xe s xe
ٴتسىترۋستار	t s xe t r w s t a r
ٴتسىفرلار	t s xe f r l a r
تسىتسەرون	t s xe t s ye r o n
چاگرىندەر	ch a g r xe n d ye r
چات	ch a t
چاسوۆنيالىق	ch a s o v n i a l e q
چاتتار	ch a t t a r
ٴچاتنى	ch a t n xe
ٴچاپاتتى	ch a p a t t xe
چاپمان	ch a p m a n
ٴچارى	ch a r xe
چارلادى	ch a r l a d e
چارلاتان	ch a r l a t a n
چاسوۆنيا	ch a s o v n i a
چەمپىوناتتار	ch ye m p xe o n a t t a r
چەمپىون بولدى	ch ye m p xe o n   b o l d e
چەمپىون	ch ye m p xe o n
چەمپىوناتى	ch ye m p xe o n a t e
چەمپىوندار	ch ye m p xe o n d a r
چەۆى	ch ye v xe
چەددار	ch ye d d a r
چەك	ch ye k
چەمودان	ch ye m o d a n
چەموداندار	ch ye m o d a n d a r
ٴچىۆى	ch xe v xe
چەح	ch ye h
چىزبۋرگەر	ch xe z b w r g ye r
چىزبۋرگەرلەر	ch xe z b w r g ye r l ye r
چەمپىونى	ch ye m p xe o n e
چەرۆىل	ch ye r v xe l
چەرىو	ch ye r xe o
چەروت	ch ye r o t
چەستەرفىلد	ch ye s t ye r f xe l d
چۋددار	ch w d d a r
چىتتەر	ch xe t t ye r
چىپتەر	ch xe p t ye r
چۋب	ch w b
چۋگ	ch w g
چىكلە	ch xe k l ye
ٴچىلى	ch xe l xe
ٴچىپ	ch xe p
چىپىڭتەر	ch xe p xe n g t ye r
چىپپەندال	ch xe p p ye n d a l
ٴچىپسى	ch xe p s e
شابلوندار	sh a b l o n d a r
شابلون	sh a b l o n
شابۋىل جاسادى	sh a b w e l   j a s a d e
شابۋىلدادى	sh a b w e l d a d e
چۋككا	ch w k k a
چۋمالار	ch w m a l a r
شاباندوز	sh a b a n d o z
شابدالى	sh a b d a l e
شابدالى اعاشى	sh a b d a l e   a gh a sh e
شابىلعان	sh a b e l gh a n
شابىتتاندىرادى	sh a b e t t a n d e r a d e
شابىت	sh a b e t
شابۋىلدار	sh a b w e l d a r
شابۋىلداۋ	sh a b w e l d a w
شابۋىلداۋشىلار	sh a b w e l d a w sh e l a r
شابۋىلسىز	sh a b w e l s e z
شابۋىلشى	sh a b w e l sh e
شايمالاۋ	sh a i m a l a w
شايبا	sh a i b a
شاي قاسىق	sh a i   q a s e q
شايبالار	sh a i b a l a r
شايلار	sh a i l a r
شابىتتار	sh a b e t t a r
شاي	sh a i
شاي دۇكەنى	sh a i   d xu k ye n xe
شاي تورت	sh a i   t o r t
شاي شاينەك	sh a i   sh a i n ye k
ٴشاي ىشۋ	sh a i   xe sh w
شايىرلار	sh a i e r l a r
شايحانالار	sh a i h a n a l a r
شايتاندىق	sh a i t a n d e q
شايىر	sh a i e r
شايقالدى	sh a i q a l d e
شايناۋ	sh a i n a w
شايناعان	sh a i n a gh a n
شاينەك	sh a i n ye k
شاينەك بارابانى	sh a i n ye k   b a r a b a n e
شاينەكتەر	sh a i n ye k t ye r
شالە	sh a l ye
شالبار	sh a l b a r
شالشىق	sh a l sh e q
شالفەي	sh a l f ye i
شايقاۋ	sh a i q a w
شايقاۋشى	sh a i q a w sh e
شايقاۋعا بولادى	sh a i q a w gh a   b o l a d e
شايقاڭىز	sh a i q a n g e z
شالا	sh a l a
شامادان تىس بولۋ	sh a m a d a n   t e s   b o l w
شامادان تىس باعالاۋ	sh a m a d a n   t e s   b a gh a l a w
شامادان تىس	sh a m a d a n   t e s
شامادان تىس جۇكتەلگەن	sh a m a d a n   t e s   j xu k t ye l g ye n
شامادان تىس جۇكتەمە	sh a m a d a n   t e s   j xu k t ye m ye
شالعام	sh a l gh a m
شالعىن	sh a l gh e n
ٴشالعىندى شوپ	sh a l gh e n d e   sh xo p
شالقاي	sh a l q a i
شام	sh a m
شامپان	sh a m p a n
شاماسىندا	sh a m a s e n d a
شاماسى	sh a m a s e
شامدار	sh a m d a r
ٴشامپىنون	sh a m p xe n o n
شامادان تىس سەنىمدىلىك	sh a m a d a n   t e s   s ye n xe m d xe l xe k
شامادان تىس شىعارىڭىز	sh a m a d a n   t e s   sh e gh a r e n g e z
شامالاڭحان	sh a m a l a n gh a n
شامالار	sh a m a l a r
شامالى وس	sh a m a l e   o s
شامامەن	sh a m a m ye n
شانىشقى	sh a n e sh q e
شانشۋ	sh a n sh w
شامشىراق	sh a m sh e r a q
شانا	sh a n a
شاندى	sh a n d e
شانسون	sh a n s o n
شانتاج جاساۋ	sh a n t a j   j a s a w
شاپپالار	sh a p p a l a r
شاپاعات ەتۋ	sh a p a gh a t   ye t w
شاپاندار	sh a p a n d a r
شاپەرون	sh a p ye r o n
شاپكالار	sh a p k a l a r
شانىشقىلار	sh a n e sh q e l a r
شاپالاق	sh a p a l a q
شاپالاقتادى	sh a p a l a q t a d e
شاپالاقتاۋ	sh a p a l a q t a w
شاپالاقشى	sh a p a l a q sh e
شاپان	sh a p a n
شاراپ ساتۋشى	sh a r a p   s a t w sh e
شارالار	sh a r a l a r
شاپقىنشىلىق	sh a p q e n sh e l e q
شاراپ	sh a r a p
شاراپ ستاقانى	sh a r a p   s t a q a n e
شاپتى	sh a p t e
شاپشاڭ	sh a p sh a n g
شاپشاڭدىق	sh a p sh a n g d e q
شاپقان	sh a p q a n
شاپقىلاۋ	sh a p q e l a w
شارلاۋ	sh a r l a w
ٴشارلاتانىزم	sh a r l a t a n xe z m
شارتسىز	sh a r t s e z
شارت	sh a r t
شاراپ شىنى	sh a r a p   sh e n e
شاراپتار	sh a r a p t a r
شاراپشى	sh a r a p sh e
شارلار	sh a r l a r
شارلاتاندار	sh a r l a t a n d a r
شارۋا	sh a r w a
شارتتىق	sh a r t t e q
شارتتى تۇردە مەرزىمىنەن بۇرىن شارتتى تۇردە بوساتۋ	sh a r t t e   t xu r d ye   m ye r z xe m xe n ye n   b u r e n   sh a r t t e   t xu r d ye   b o s a t w
شارۋا قوجالىعى	sh a r w a   q o j a l e gh e
شارۋا قوجالىقتارى	sh a r w a   q o j a l e q t a r e
شارتتار	sh a r t t a r
شارتتارى	sh a r t t a r e
شارتتى	sh a r t t e
شارتتى ەمەس	sh a r t t e   ye m ye s
شارتتى تۇردە	sh a r t t e   t xu r d ye
شارشاتاتىن	sh a r sh a t a t e n
شارشاتادى	sh a r sh a t a d e
شارشاپ	sh a r sh a p
شارشاۋ	sh a r sh a w
شارشاعان	sh a r sh a gh a n
شارۋالار	sh a r w a l a r
شارۋاشىلىق	sh a r w a sh e l e q
شارف	sh a r f
شارفتار	sh a r f t a r
شارشايتىن	sh a r sh a i t e n
شاتاسقان	sh a t a s q a n
شاتاستىرۋ	sh a t a s t e r w
شاتاستىردى	sh a t a s t e r d e
شاتاسۋ	sh a t a s w
شاتاسۋلار	sh a t a s w l a r
شارشاعىش	sh a r sh a gh e sh
شارشى	sh a r sh e
شارىقتاۋ شەگى	sh a r e q t a w   sh ye g xe
ٴشاسسى	sh a s s xe
شاتاستىرادى	sh a t a s t e r a d e
شاتاستىراتىن	sh a t a s t e r a t e n
شاتىرسىز	sh a t e r s e z
شاتقال	sh a t q a l
شافران	sh a f r a n
شاتاق	sh a t a q
شاتتل	sh a t t l
شاتتىق	sh a t t e q
شاتىر	sh a t e r
شاتىرلار	sh a t e r l a r
شاحتەر	sh a h t ye r
شاحماتشىلار	sh a h m a t sh e l a r
شاش سىزىعى	sh a sh   s e z e gh e
شاش جاساۋ	sh a sh   j a s a w
شاح	sh a h
شاحمات	sh a h m a t
شاحمات تاقتالارى	sh a h m a t   t a q t a l a r e
شاحمات تاقتاسى	sh a h m a t   t a q t a s e
شاحماتشى	sh a h m a t sh e
شاشتى	sh a sh t e
شاشتار	sh a sh t a r
شاشسىز	sh a sh s e z
شاشتاراز	sh a sh t a r a z
شاشتارازدار	sh a sh t a r a z d a r
شاش ششەتكاسى	sh a sh   sh sh ye t k a s e
شاش قىستىرعىش	sh a sh   q e s t e r gh e sh
ٴشاش ۇلگىسى	sh a sh   xu l g xe s xe
شاشادى	sh a sh a d e
شاشاق	sh a sh a q
شاشاقتار	sh a sh a q t a r
شاشىراڭقى	sh a sh e r a n g q e
شاشىراۋ	sh a sh e r a w
شاشقا ارنالعان جولاق	sh a sh q a   a r n a l gh a n   j o l a q
شايان	sh a i a n
شاشۋ	sh a sh w
شاشىراندى	sh a sh e r a n d e
شاشىراتادى	sh a sh e r a t a d e
شاشىراتۋ	sh a sh e r a t w
شاشىراتقىش	sh a sh e r a t q e sh
شاعىلىستىرادى	sh a gh e l e s t e r a d e
شاعىلىسادى	sh a gh e l e s a d e
شاعىلىستىرعىشتار	sh a gh e l e s t e r gh e sh t a r
شاعىلىستىرعىش	sh a gh e l e s t e r gh e sh
ٴشايان تارىزدى	sh a i a n   t xa r xe z d xe
شايان تارىزدىلەر	sh a i a n   t xa r xe z d xe l ye r
شاياندار	sh a i a n d a r
شاعالا	sh a gh a l a
شاعىل	sh a gh e l
شاعىمدار	sh a gh e m d a r
شاعىمدانۋشىلار	sh a gh e m d a n w sh e l a r
شاعىمدانۋ	sh a gh e m d a n w
شاعىن اۆتوبۋستار	sh a gh e n   a v t o b w s t a r
شاعىن دۇكەن	sh a gh e n   d xu k ye n
شاعىلىسۋ	sh a gh e l e s w
شاعىلىسقان	sh a gh e l e s q a n
شاعىم	sh a gh e m
شاعىمدانادى	sh a gh e m d a n a d e
شاعىمداندى	sh a gh e m d a n d e
شاقىرۋ قاعازى	sh a q e r w   q a gh a z e
شاقىرۋ	sh a q e r w
شاقىردى	sh a q e r d e
شاقىرۋ قاعازدارى	sh a q e r w   q a gh a z d a r e
شاقىرۋلار	sh a q e r w l a r
شاعىن كومپيۋتەر	sh a gh e n   k o m p i w t ye r
شاعىن قولونەر	sh a gh e n   q o l xo n ye r
شاعىپ الادى	sh a gh e p   a l a d e
شاق	sh a q
شاقپاق	sh a q p a q
شاقىرادى	sh a q e r a d e
ٴشاڭ جىناۋشىلار	sh a n g   j xe n a w sh e l a r
شاڭ	sh a n g
شاڭدى	sh a n g d e
شاڭدانۋ	sh a n g d a n w
شاقىرۋسىز	sh a q e r w s e z
شاقىرۋشىلار	sh a q e r w sh e l a r
شاقىرىلدى	sh a q e r e l d e
شاقىرىلعان	sh a q e r e l gh a n
شاقىرعىشتار	sh a q e r gh e sh t a r
شەباڭ	sh ye b a n g
شۆەد	sh v ye d
شاڭعىشىلار	sh a n g gh e sh e l a r
شەبەر	sh ye b ye r
شەبەر سوققىسى	sh ye b ye r   s o q q e s e
شاڭحاي	sh a n gh a i
شاڭشى	sh a n g sh e
شاڭعى تەبۋ	sh a n g gh e   t ye b w
شاڭعىلار	sh a n g gh e l a r
شاڭعىشى	sh a n g gh e sh e
شەگەرۋ	sh ye g ye r w
شەۆىوت	sh ye v xe o t
شەبىن	sh ye b xe n
شەۆرون	sh ye v r o n
شەگەرەدى	sh ye g ye r ye d xe
شەبەرلەر	sh ye b ye r l ye r
شەبەرلىك	sh ye b ye r l xe k
شەبەرسىز	sh ye b ye r s xe z
شەبەرحانا	sh ye b ye r h a n a
شەبەرحانالار	sh ye b ye r h a n a l a r
شەبەرى	sh ye b ye r xe
شەگىنىس	sh ye g xe n xe s
شەگىنۋ	sh ye g xe n w
شەگىنىستەر	sh ye g xe n xe s t ye r
شەگىرتكە	sh ye g xe r t k ye
شەگەرىلگەن	sh ye g ye r xe l g ye n
شەگەرىلدى	sh ye g ye r xe l d xe
شەگەرىم	sh ye g ye r xe m
شەگەرىمدەر	sh ye g ye r xe m d ye r
شەگىندى	sh ye g xe n d xe
شەجىرەشىلەر	sh ye j xe r ye sh xe l ye r
شەجىرەشى	sh ye j xe r ye sh xe
شەيىت	sh ye i xe t
شەيح	sh ye i h
شەگىرتكەلەر	sh ye g xe r t k ye l ye r
شەجىرە	sh ye j xe r ye
شەجىرەلەر	sh ye j xe r ye l ye r
شەجىرەلىك	sh ye j xe r ye l xe k
شەجىرەسى	sh ye j xe r ye s xe
شەكارالاس	sh ye k a r a l a s
شەكارالارى	sh ye k a r a l a r e
شەكاراسى	sh ye k a r a s e
شەكاراشى	sh ye k a r a sh e
شەيىتتەر	sh ye i xe t t ye r
شەكارا	sh ye k a r a
شەكارا ماڭى	sh ye k a r a   m a n g e
شەكارا سىزىعى	sh ye k a r a   s e z e gh e
شەكارالار	sh ye k a r a l a r
شەكتەلگەن	sh ye k t ye l g ye n
شەكتەيتىن	sh ye k t ye i t xe n
شەكتەن اسقاندا	sh ye k t ye n   a s q a n d a
شەكتەر	sh ye k t ye r
شەكاراشىلار	sh ye k a r a sh e l a r
شەكەل	sh ye k ye l
شەكسىز	sh ye k s xe z
شەكسىزدىك	sh ye k s xe z d xe k
شەكسىزدىكتەر	sh ye k s xe z d xe k t ye r
شەكتەيدى	sh ye k t ye i d xe
شەكتىك	sh ye k t xe k
شەكتى	sh ye k t xe
شەلپەك	sh ye l p ye k
شەلەكتەر	sh ye l ye k t ye r
شەكتەس	sh ye k t ye s
شەكتەۋ	sh ye k t ye w
شەكتەۋلەر	sh ye k t ye w l ye r
شەكتەۋلى	sh ye k t ye w l xe
شەكتەۋسىز	sh ye k t ye w s xe z
شەرتپە	sh ye r t p ye
شەرىفتەر	sh ye r xe f t ye r
شەرىف	sh ye r xe f
شەرتۋلەر	sh ye r t w l ye r
شەرۋ	sh ye r w
شەلپەكتەر	sh ye l p ye k t ye r
شەمىرشەك	sh ye m xe r sh ye k
شەنەۋنىكتەر	sh ye n ye w n xe k t ye r
شەنىگان	sh ye n xe g a n
شەربەت	sh ye r b ye t
شەتكى	sh ye t k xe
شەتكە	sh ye t k ye
شەتەلدىكتەر	sh ye t ye l d xe k t ye r
شەتكە قويۋ	sh ye t k ye   q o i w
شەتكى ايماقتار	sh ye t k xe   a i m a q t a r
شەرۋلەر	sh ye r w l ye r
شەرىلدى	sh ye r xe l d xe
شەت	sh ye t
شەتەلدە	sh ye t ye l d ye
شەتەلدەن كەلگەن	sh ye t ye l d ye n   k ye l g ye n
شەتەلدىك	sh ye t ye l d xe k
شەشەدى	sh ye sh ye d xe
شەش	sh ye sh
شەشەن	sh ye sh ye n
شەشەكتەر	sh ye sh ye k t ye r
شەتتە	sh ye t t ye
شەتتەر	sh ye t t ye r
شەتتەرى	sh ye t t ye r xe
شەتتەتۋ	sh ye t t ye t w
شەتى	sh ye t xe
شەشتى	sh ye sh t xe
شەشپەڭىز	sh ye sh p ye n g xe z
شەشپەۋ	sh ye sh p ye w
شەشۋ	sh ye sh w
شەشۋگە بولادى	sh ye sh w g ye   b o l a d e
شەشەندەر	sh ye sh ye n d ye r
شەشەندىك	sh ye sh ye n d xe k
شەشەندىكپەن	sh ye sh ye n d xe k p ye n
شەشەندىكتەر	sh ye sh ye n d xe k t ye r
شەشپەيدى	sh ye sh p ye i d xe
شەشىلەتىن	sh ye sh xe l ye t xe n
شەشىلدى	sh ye sh xe l d xe
شەشىلگەن	sh ye sh xe l g ye n
شەشىلمەيدى	sh ye sh xe l m ye i d xe
شەشىلمەيتىن	sh ye sh xe l m ye i t xe n
شەشۋگە بولاتىن	sh ye sh w g ye   b o l a t e n
شەشۋشى	sh ye sh w sh xe
شەشۋشى تۇردە	sh ye sh w sh xe   t xu r d ye
شەشۋشىلەر	sh ye sh w sh xe l ye r
شەشۋشىلىك	sh ye sh w sh xe l xe k
شەشىنۋ	sh ye sh xe n w
شەشىمى	sh ye sh xe m xe
شەڭبەر	sh ye n g b ye r
شەڭبەر تارىزدى	sh ye n g b ye r   t xa r xe z d xe
شەشىلمەۋى	sh ye sh xe l m ye w xe
شەشىلۋدە	sh ye sh xe l w d ye
شەشىم	sh ye sh xe m
شەشىمدەر	sh ye sh xe m d ye r
شەشىمدى	sh ye sh xe m d xe
شەشىمدىلىك	sh ye sh xe m d xe l xe k
شىەلەنىستەر	sh xe ye l ye n xe s t ye r
شىەلەنىسكەن	sh xe ye l ye n xe s k ye n
شىەلەنىس	sh xe ye l ye n xe s
شىەلەنىستى	sh xe ye l ye n xe s t xe
شەڭبەرلەر	sh ye n g b ye r l ye r
شەڭبەرى	sh ye n g b ye r xe
ٴشى	sh xe
ٴشىۆا	sh xe v a
شىە	sh xe ye
شىكىزات ماتەرىال	sh xe k xe z a t   m a t ye r xe a l
شىكىزات	sh xe k xe z a t
شىللىڭتەر	sh xe l l xe n g t ye r
ٴشىمپان	sh xe m p a n
شىەلەنىستىرەدى	sh xe ye l ye n xe s t xe r ye d xe
شىەلەنىسۋ	sh xe ye l ye n xe s w
شىزوفرەنىيا	sh xe z o f r ye n xe i a
شىزوفرەنىيالىق	sh xe z o f r ye n xe i a l e q
شىك	sh xe k
شىكى	sh xe k xe
شىرەكتەر	sh xe r ye k t ye r
ٴشىراق	sh xe r a q
شىرك	sh xe r k
شىسماتىكالىق	sh xe s m a t xe k a l e q
شىمپانزە	sh xe m p a n z ye
ٴشىنا	sh xe n a
ٴشىنالار	sh xe n a l a r
ٴشىنبون	sh xe n b o n
ٴشىنشىللا	sh xe n sh xe l l a
ٴشىراتۋ	sh xe r a t w
ٴشىفرلاۋ	sh xe f r l a w
ٴشىفرلاڭحان	sh xe f r l a n gh a n
ٴشىفرىن اشۋ	sh xe f r e n   a sh w
ٴشىشاسى	sh xe sh a s e
ٴشىست	sh xe s t
شىفەر	sh xe f ye r
ٴشىفون	sh xe f o n
شىفونەر	sh xe f o n ye r
ٴشىفر	sh xe f r
ٴشىفرلايدى	sh xe f r l a i d e
شكىۆتەر	sh k xe v t ye r
شكافتار	sh k a f t a r
شكاف جاساۋشى	sh k a f   j a s a w sh e
شلاك	sh l a k
شلام	sh l a m
ٴشىىرشىقتار	sh xe e r sh e q t a r
شكالالار	sh k a l a l a r
شكالالى	sh k a l a l e
شكالىس	sh k a l xe s
شكاف	sh k a f
شليۋزدەر	sh l i w z d ye r
شليۋز قاقپاسى	sh l i w z   q a q p a s e
شنۋرلار	sh n w r l a r
شنىتسەل	sh n xe t s ye l
شلامدار	sh l a m d a r
شلاڭ	sh l a n g
شلاڭىلەر	sh l a n g xe l ye r
شلەمدەر	sh l ye m d ye r
شليۋز	sh l i w z
شوۆىنىستىك	sh o v xe n xe s t xe k
شودىبەر	sh o d xe b ye r
شوك	sh o k
شنۋرلى	sh n w r l e
شنۋرى	sh n w r e
شوالى	sh o a l e
ٴشوۆىنىزم	sh o v xe n xe z m
ٴشوۆىنىست	sh o v xe n xe s t
شومىلدىرۋ	sh o m e l d e r w
شومىلدى	sh o m e l d e
